,publisher,genre,follows,followed by,part of the series,instance of,author,title,series ordinal,language of work or name,country of origin,derivative work,OCLC work ID,NooSFere book ID,publication date,Freebase ID,Open Library ID,has edition,OCLC control number,ISBN-13,page(s),original language of film or TV show,narrative location,ISBN-10,copyright status,characters,Internet Archive ID,main subject,NNL work ID,official website,set in period,distribution format,country,LibraryThing work ID,number of pages,subtitle,place of publication,Goodreads book ID,edition number,Google Books ID,described at URL,VIAF ID,Google Knowledge Graph ID,Babelio work ID,DNB editions,Wolfram Language entity code,illustrator,Library of Congress authority ID,ISFDB title ID,has part,image,inception,award received,GND ID,edition or translation of,editor,number of parts of this work of art,distributor,issue,full work available at,scanned file on Wikimedia Commons,BVMC work ID,SUDOC editions,Bibliothèque nationale de France ID,part of,volume,published in,takes place in fictional universe,copyright license,Commons category
159,,young adult literature,Q79963053,,Q79962921,book,Oliver Pötzsch,,2,,,,,,2016-09-19T00:00:00Z,,,,,,,German,,,,,,knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,young adult literature,Q79963053,,Q79962921,book,Oliver Pötzsch,,2,,,,,,2016-09-19T00:00:00Z,,,,,,,German,,,,,,knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,young adult literature,,Q79964218,Q79963939,book,Eva Völler,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,young adult literature,,Q79964218,Q79963939,book,Eva Völler,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,fantasy literature,Q79963789,Q79964430,Q79963939,book,Eva Völler,,2,,,,,,,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,fantasy literature,Q79963789,Q79964430,Q79963939,book,Eva Völler,,2,,,,,,,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,young adult literature,Q79964218,,Q79963939,book,Eva Völler,,3,,,,,,,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,historical novel,,Q79965218,Q79965204,book,Maria W. Peter,,1,,,,,,,,,,,,,,Trier,,,,,slavery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,historical novel,Q79965203,Q79965335,Q79965204,book,Maria W. Peter,,2,,,,,,,,,,,,,German,Trier,,,,,ancient Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,short story cycle,,,,book,Gerhard Loibelsberger,,,,,,,,,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,historical novel,Q79966363,Q79966548,Q79966376,book,Gerhard Loibelsberger,,2,,,,,,,,,,,,,German,Vienna,,,,,,,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,historical novel,Q79966542,Q79966549,Q79966376,book,Gerhard Loibelsberger,,3,,,,,,,,,,,,,German,Vienna,,,,,Vienna,,,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,historical novel,Q79966548,,Q79966376,book,Gerhard Loibelsberger,,4,,,,,,,,,,,,,German,Vienna,,,,,Vienna,,,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,philosophy,,,,book,Ramy Khodeir,Immanent Transcendence,,,,,,,2019-01-01T00:00:00Z,,,,,978-1-79470-156-4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ramy%20Khodeir%20Immanent%20Transcendence%20Cover.png,,,,,,,,,,,,,,,,,,,
173,Q80161105,role-playing game,,,,role-playing,,Atopia,,Basque,,,,,2019-01-01T00:00:00Z,,,,,978-84-947597-6-5,400,,,,,,,,,http://atopia.eus,,,,,,,,,,,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Atopia-txuria.png,,Q80161349,,,,,,,,,,,,,,Basque Country,Basque Country,Creative Commons Attribution-ShareAlike,AtopiaRPG
174,,psychological thriller,,,,book,Sebastian Fitzek,,,,,,,,2019-10-23T00:00:00Z,,,,,,,German,,,,,,,,https://www.sebastianfitzek.de/buch/das-geschenk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,self-help book,,,,book,Sebastian Fitzek,,,,,,,,2019-03-20T00:00:00Z,,,,,,,German,,,,,,,,https://www.sebastianfitzek.de/buch/fische-die-auf-baeume-klettern/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,thriller,,,Tom Clancy's Op-Center,book,Steve Pieczenik,,12,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,thriller,,,Tom Clancy's Op-Center,book,Steve Pieczenik,,12,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,thriller,,,Tom Clancy's Op-Center,book,Steve Pieczenik,,11,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,thriller,,,Tom Clancy's Power Plays,book,Tom Clancy,,2,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,thriller,,,Tom Clancy's Power Plays,book,Tom Clancy,,1,,,,,,1997-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,thriller,,,Tom Clancy's Power Plays,book,Tom Clancy,,1,,,,,,1997-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,thriller,,,Tom Clancy's Power Plays,book,Tom Clancy,,4,,,,,,2000-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,thriller,,,Tom Clancy's Power Plays,book,Tom Clancy,,6,,,,,,2002-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,thriller,,,Tom Clancy's Power Plays,book,Q80341052,,8,,,,,,2004-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,thriller,,,Tom Clancy's Power Plays,book,Q80341052,,8,,,,,,2004-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Macmillan Publishers,short story collection,,,,short story collection,Thomas Hardy,,,,,,,,1891-01-01T00:00:00Z,,OL7220096M,,697776605,,,,,,,,groupofnobledame00harduoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Macmillan Publishers,short story collection,,,,short story collection,Thomas Hardy,,,,,,,,1891-01-01T00:00:00Z,,OL7220096M,,697776605,,,,,,,,groupofnobledame00harduoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,prayer book,,,,book,,,,,,,,,1975-01-01T00:00:00Z,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Tor Books,science fiction,,,,book,,,,,,,,,2007-11-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706389,,,,,,,Henry Gee,,,,,,,,,,,,,,
190,,biography,,,,book,Franz Kurowski,,,,,,,,2007-10-01T00:00:00Z,,,,,,,German,,,,,,Rudolf Witzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,biography,,,,book,Franz Kurowski,,,,,,,,2001-01-01T00:00:00Z,,,,,,,German,,,,,,Eduard Dietl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,biography,,,,book,Franz Kurowski,,,,,,,,,,,,,,,German,,,,,,Karl Dönitz,,https://www.verlagshaus.com/index.php?id=detail&tt_products%5BbackPID%5D=80&tt_products%5Bproduct%5D=1291&tt_products%5Bcat%5D=11&cHash=2efa8d53d86c861d76c5a0da7bff5974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
